"filename", "language", "JavaScript", "JSON with Comments", "vue", "TypeScript", "Less", "XML", "Batch", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"f:\gcrypt\gcrypt\src\components\PerformanceMonitor\CanvasChart.vue", "vue", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 1, 11, 138
"f:\gcrypt\gcrypt\src\components\PerformanceMonitor\PerformanceMonitor.vue", "vue", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 14, 119
"f:\gcrypt\gcrypt\src\components\PerformanceMonitor\SystemInfo.vue", "vue", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"f:\gcrypt\gcrypt\src\components\blank.vue", "vue", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"f:\gcrypt\gcrypt\src\ctx.d.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"f:\gcrypt\gcrypt\src\eventBus.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 1, 7
"f:\gcrypt\gcrypt\src\main.ts", "TypeScript", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 20, 21, 216
"f:\gcrypt\gcrypt\src\plugins\vuetify.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 18, 5, 47
"f:\gcrypt\gcrypt\src\plugins\webfontloader.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 3, 16
"f:\gcrypt\gcrypt\src\router\index.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 12, 4, 50
"f:\gcrypt\gcrypt\src\shims-vue.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"f:\gcrypt\gcrypt\src\store\index.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 3, 49
"f:\gcrypt\gcrypt\src\styles\globalVariables.less", "Less", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 2, 155
"f:\gcrypt\gcrypt\src\styles\globalVuetifyOverrides.less", "Less", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"f:\gcrypt\gcrypt\src\styles\scrollbars.less", "Less", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 4, 29
"f:\gcrypt\gcrypt\src\test\adapterV1Unit.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 2, 20
"f:\gcrypt\gcrypt\src\test\addrUnit.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 21
"f:\gcrypt\gcrypt\src\test\jsonStorageUnit.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 15
"f:\gcrypt\gcrypt\src\types\contextMenuItem.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"f:\gcrypt\gcrypt\src\types\dialogBottomAction.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"f:\gcrypt\gcrypt\src\types\fileTypes.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"f:\gcrypt\gcrypt\src\types\settingItem.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"f:\gcrypt\gcrypt\src\utils\colorUtils.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 55
"f:\gcrypt\gcrypt\src\utils\getFileName.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"f:\gcrypt\gcrypt\src\utils\getFileType.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"f:\gcrypt\gcrypt\src\utils\gyConsole.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 4, 50
"f:\gcrypt\gcrypt\src\utils\initSettings.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"f:\gcrypt\gcrypt\src\utils\sharedUtils.ts", "TypeScript", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 13, 4, 137
"f:\gcrypt\gcrypt\src\utils\sleep.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"f:\gcrypt\gcrypt\src\utils\timeUtils.ts", "TypeScript", 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 39, 24, 233
"f:\gcrypt\gcrypt\src\utils\utils.ts", "TypeScript", 0, 0, 0, 394, 0, 0, 0, 0, 0, 0, 185, 21, 600
"f:\gcrypt\gcrypt\src\views\About\AboutView.vue", "vue", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 1, 9, 124
"f:\gcrypt\gcrypt\src\views\Home\HomeView.vue", "vue", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"f:\gcrypt\gcrypt\src\views\Settings\SettingsView.vue", "vue", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 6, 11, 137
"f:\gcrypt\gcrypt\src\views\StoreMgr\ActionToolBar.vue", "vue", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 6, 38
"f:\gcrypt\gcrypt\src\views\StoreMgr\DialogMgr.vue", "vue", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 3, 6, 116
"f:\gcrypt\gcrypt\src\views\StoreMgr\StoreMgr.vue", "vue", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 2, 22, 216
"f:\gcrypt\gcrypt\tsconfig.json", "JSON with Comments", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 43
"f:\gcrypt\gcrypt\vue.config.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 87
"Total", "-", 298, 31, 2557, 1653, 183, 14, 1, 27, 27, 37010, 649, 537, 42987
