"filename", "language", "vue", "TypeScript", "JavaScript", "Less", "XML", "comment", "blank", "total"
"f:\gcrypt\gcrypt\src\plugins\webfontloader.ts", "TypeScript", 0, 8, 0, 0, 0, 5, 3, 16
"f:\gcrypt\gcrypt\src\router\index.ts", "TypeScript", 0, 34, 0, 0, 0, 12, 4, 50
"f:\gcrypt\gcrypt\src\shims-vue.d.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 2, 8
"f:\gcrypt\gcrypt\src\store\main.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 2, 16
"f:\gcrypt\gcrypt\src\store\settings.ts", "TypeScript", 0, 37, 0, 0, 0, 4, 3, 44
"f:\gcrypt\gcrypt\src\styles\globalVariables.less", "Less", 0, 0, 0, 153, 0, 0, 2, 155
"f:\gcrypt\gcrypt\src\styles\globalVuetifyOverrides.less", "Less", 0, 0, 0, 9, 0, 0, 1, 10
"f:\gcrypt\gcrypt\src\styles\scrollbars.less", "Less", 0, 0, 0, 21, 0, 4, 4, 29
"f:\gcrypt\gcrypt\src\test\adapterV1Unit.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 2, 20
"f:\gcrypt\gcrypt\src\test\addrUnit.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 2, 21
"f:\gcrypt\gcrypt\src\test\jsonStorageUnit.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 2, 15
"f:\gcrypt\gcrypt\src\types\contextMenuItem.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 2, 15
"f:\gcrypt\gcrypt\src\types\dialogBottomAction.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 1, 5
"f:\gcrypt\gcrypt\src\types\fileTypes.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 2, 22
"f:\gcrypt\gcrypt\src\types\settingItem.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 2, 11
"f:\gcrypt\gcrypt\src\utils\colorUtils.js", "JavaScript", 0, 0, 45, 0, 0, 4, 6, 55
"f:\gcrypt\gcrypt\src\utils\getExtName.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 2, 11
"f:\gcrypt\gcrypt\src\utils\getFileName.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 2, 9
"f:\gcrypt\gcrypt\src\utils\getFileType.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 4, 21
"f:\gcrypt\gcrypt\src\utils\gyConsole.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 4, 51
"f:\gcrypt\gcrypt\src\utils\initSettings.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 2, 9
"f:\gcrypt\gcrypt\src\utils\sharedUtils.ts", "TypeScript", 0, 120, 0, 0, 0, 13, 4, 137
