"filename", "language", "vue", "TypeScript", "JavaScript", "JSON with Comments", "Batch", "Markdown", "HTML", "XML", "JSON", "comment", "blank", "total"
"f:\gcrypt\gcrypt\src\components\shared\DialogGenerator.vue", "vue", 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 60
"f:\gcrypt\gcrypt\src\components\shared\IconBtn.vue", "vue", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
"f:\gcrypt\gcrypt\src\main.ts", "TypeScript", 0, -4, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0
"f:\gcrypt\gcrypt\src\store\index.ts", "TypeScript", 0, -45, 0, 0, 0, 0, 0, 0, 0, -1, -3, -49
"f:\gcrypt\gcrypt\src\store\main.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"f:\gcrypt\gcrypt\src\store\settings.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 4, 3, 44
"f:\gcrypt\gcrypt\src\utils\getExtName.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"f:\gcrypt\gcrypt\src\utils\gyConsole.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\gcrypt\gcrypt\src\utils\toLegalRouterPath.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 3, 12
"f:\gcrypt\gcrypt\src\views\About\AboutView.vue", "vue", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\gcrypt\gcrypt\src\views\Settings\SettingsView.vue", "vue", -31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -30
"f:\gcrypt\gcrypt\src\views\StoreMgr\StoreMgr.vue", "vue", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"f:\gcrypt\gcrypt\tsconfig.json", "JSON with Comments", 0, 0, 0, -31, 0, 0, 0, 0, 0, -11, -1, -43
"f:\gcrypt\gcrypt\vue.config.js", "JavaScript", 0, 0, -72, 0, 0, 0, 0, 0, 0, -10, -5, -87
"Total", "-", 438, 280, -119, -31, -1, -27, -27, -8, -37010, 49, 112, -36344
